paper,ses_report,study_n,report_n
Goodman et al. 2020,81,37,29.97
Burnette et al. 2022,74.1,58,42.978
Raad et al. 2008,57.3,206,118.038
"Villarreal, 2014",55.3,170,94.01
Pulli et al. 2019,55.2,67,36.984
Peter et al. 2021,46,13,5.98
"Singh & Rajendra, 2024",46,1576,724.96
Waldron et al. 2018,39.1,69,26.979
Moffitt et al. 2023,38,555,210.9
Weisz et al. 2005,27.54,427,117.5958
Williamson et al. 2023,24,771,185.04
DeJesus et al. 2019,21,1149,241.29
McGorray et al. 2023,20.7,1762,364.734
Rad et al. 2018,8,428,34.24
"Kissel & Friedman, 2023",1.9,1500,28.5
Sabik et al. 2021,1,100,1
